requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
34178,Brooklyn,2022,1,5,1,0,13,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,15,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,30,3,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,45,2,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,0,2,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,15,4,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,30,8,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,45,0,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,0,4,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,15,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,30,4,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,45,1,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,0,3,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,15,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,30,5,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,45,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,5,0,10,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,5,15,10,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,5,30,20,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34815,Bronx,2022,4,11,7,0,77,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,7,15,75,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,7,30,78,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,7,45,72,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,8,0,70,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,8,15,66,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,8,30,60,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,8,45,70,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,9,0,71,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,9,15,48,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,9,30,59,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
26422,Bronx,2017,7,14,7,0,23,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
26422,Bronx,2017,7,14,7,15,18,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
26422,Bronx,2017,7,14,7,30,20,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
26422,Bronx,2017,7,14,7,45,26,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
26422,Bronx,2017,7,14,8,0,28,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
26422,Bronx,2017,7,14,8,15,22,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
26422,Bronx,2017,7,14,8,30,14,89545,POINT (1027918.9021576509 259904.67638341544),EAST 224 STREET,Dead End,Boston Road,EB
12014,Bronx,2010,9,10,22,15,64,89573,POINT (1027797.2 263072.2),E 233RD ST BET EDSON & BAYCHESTER AVES,EDSON AV,BAYCHESTER AV/GRENADA PL,EB
12014,Bronx,2010,9,10,22,30,64,89573,POINT (1027797.2 263072.2),E 233RD ST BET EDSON & BAYCHESTER AVES,EDSON AV,BAYCHESTER AV/GRENADA PL,EB
12014,Bronx,2010,9,10,22,45,64,89573,POINT (1027797.2 263072.2),E 233RD ST BET EDSON & BAYCHESTER AVES,EDSON AV,BAYCHESTER AV/GRENADA PL,EB
12015,Bronx,2010,9,10,22,15,62,89577,POINT (1028072.7 263023.8),E 233RD ST BET DE REIMER & BAYCHESTER AVES,BAYCHESTER AV/GRENADA PL,DE REIMER AV,WB
12015,Bronx,2010,9,10,22,30,66,89577,POINT (1028072.7 263023.8),E 233RD ST BET DE REIMER & BAYCHESTER AVES,BAYCHESTER AV/GRENADA PL,DE REIMER AV,WB
12015,Bronx,2010,9,10,22,45,87,89577,POINT (1028072.7 263023.8),E 233RD ST BET DE REIMER & BAYCHESTER AVES,BAYCHESTER AV/GRENADA PL,DE REIMER AV,WB
12018,Bronx,2010,10,28,18,15,25,89663,POINT (1028844.3 263086.7),E 233RD ST BET MURDOCK & HILL AVES,MURDOCK AV,HILL AV,EB
12018,Bronx,2010,10,28,18,30,134,89663,POINT (1028844.3 263086.7),E 233RD ST BET MURDOCK & HILL AVES,MURDOCK AV,HILL AV,EB
12018,Bronx,2010,10,28,18,45,84,89663,POINT (1028844.3 263086.7),E 233RD ST BET MURDOCK & HILL AVES,MURDOCK AV,HILL AV,EB
12018,Bronx,2010,11,6,18,0,115,89663,POINT (1028844.3 263086.7),E 233RD ST BET MURDOCK & HILL AVES,MURDOCK AV,HILL AV,EB
12019,Bronx,2010,11,6,18,15,40,89663,POINT (1028844.3 263086.7),E 233RD ST BET MURDOCK & HILL AVES,MURDOCK AV,HILL AV,WB
12021,Bronx,2010,10,28,19,0,100,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,19,15,100,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,19,30,108,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,19,45,67,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,20,0,90,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,20,15,73,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,20,30,54,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,20,45,76,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,21,0,84,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
12021,Bronx,2010,10,28,21,15,56,89730,POINT (1029840.7 263292.2),E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,DURYEA AV/PRATT AV,EB
15389,Manhattan,2013,7,23,3,15,52,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,3,30,56,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,3,45,51,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,4,0,42,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,4,15,51,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,4,30,65,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,4,45,72,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,5,0,83,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,5,15,90,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,5,30,115,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,5,45,125,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,6,0,168,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,6,15,154,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,6,30,208,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,6,45,250,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,7,0,246,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,7,15,293,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,7,30,300,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,7,45,314,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
15389,Manhattan,2013,7,23,8,0,321,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
